period;format;download_path;download_mode;path;inputs_folder;data_folder;missing_symbols;ft_ENEM
1998;NA;http://download.inep.gov.br/microdados/micro_enem1998.zip;source;NA;;;NA;
1999;NA;http://download.inep.gov.br/microdados/micro_enem1999.zip;source;NA;;;NA;
2000;NA;http://download.inep.gov.br/microdados/micro_enem2000.zip;source;NA;;;NA;
2001;NA;http://download.inep.gov.br/microdados/micro_enem2001.zip;source;NA;;;NA;
2002;NA;http://download.inep.gov.br/microdados/micro_enem2002.zip;source;NA;;;NA;
2003;NA;http://download.inep.gov.br/microdados/micro_enem2003.zip;source;NA;;;NA;
2004;NA;http://download.inep.gov.br/microdados/micro_enem2004.zip;source;NA;;;NA;
2005;NA;http://download.inep.gov.br/microdados/microdados_enem_2005.zip;source;NA;;;NA;
2006;NA;http://download.inep.gov.br/microdados/microdados_ENEM_2006.zip;source;NA;;;NA;
2007;NA;http://download.inep.gov.br/microdados/microdados_enem_2007_DVD.zip;source;NA;;;NA;
2008;NA;http://download.inep.gov.br/microdados/microdados_enem_2008.zip;source;NA;;;NA;
2009;NA;http://download.inep.gov.br/microdados/microdados_enem2009.rar;source;NA;;;NA;
2010;NA;http://download.inep.gov.br/microdados/microdados_enem2010_2.rar;source;NA;;;NA;
2011;NA;http://download.inep.gov.br/microdados/microdados_enem2011.zip;source;NA;;;NA;
2012;NA;http://download.inep.gov.br/microdados/microdados_enem2012.zip;source;NA;;;NA;
2013;NA;http://download.inep.gov.br/microdados/microdados_enem2013.zip;source;NA;;;NA;
2014;NA;http://download.inep.gov.br/microdados/microdados_enem2014.zip;source;NA;;;NA;
